num,ms,up,down,left,right
314,1033,3,0,3,6
315,1033,4,0,0,2
316,1033,7,4,1,3
317,1033,4,1,4,6
318,1033,2,0,6,9
319,1033,6,4,2,4
320,1033,5,2,1,4
321,1033,7,3,4,7
322,1033,6,3,0,2
323,1033,3,2,0,3
324,1033,3,0,5,8
325,1033,3,0,0,2
326,1112,4,2,3,7
327,1112,5,2,0,2
328,1112,7,3,4,7
329,1112,6,0,3,4
330,1112,6,4,1,5
331,1112,6,1,1,5
332,1112,5,2,2,5
333,1112,4,1,0,1
334,1112,7,4,0,4
335,1112,5,4,4,7
336,1112,6,3,3,6
337,1112,6,4,3,7
338,1112,6,5,1,4
339,1112,4,0,3,4
340,1112,7,4,2,4
341,1112,4,0,0,2
342,1112,5,4,1,4
343,1112,7,3,0,4
344,1112,10,8,4,6
345,1112,6,2,1,4
346,1112,4,1,4,7
347,1112,2,0,0,4
348,1112,5,4,1,4
349,1112,4,1,2,4
350,1112,3,0,3,7
351,1191,8,4,2,4
352,1191,6,3,2,4
353,1191,5,3,0,4
354,1191,6,4,2,5
355,1191,5,4,3,4
356,1191,7,0,1,6
357,1191,6,3,0,3
358,1191,5,0,0,4
359,1191,4,1,0,3
360,1191,4,1,3,6
361,1191,5,4,4,6
362,1191,5,1,4,8
363,1191,4,1,0,4
364,1191,6,2,1,4
365,1191,6,2,0,2
366,1191,1,0,5,7
367,1191,6,3,2,5
368,1191,4,0,0,3
369,1191,5,4,6,8
370,1191,3,0,7,11
371,1191,4,4,4,7
372,1191,2,0,3,7
373,1191,5,1,5,6
374,1191,5,1,0,6
375,1191,4,0,0,1
376,1271,3,0,0,4
377,1271,3,2,1,6
378,1271,5,1,2,3
379,1271,8,3,1,4
380,1271,4,3,4,4
381,1271,4,1,0,5
382,1271,5,1,1,6
383,1271,6,4,3,7
384,1271,4,1,0,4
385,1271,4,0,6,8
386,1271,3,0,4,7
387,1271,4,0,2,6
388,1271,3,0,4,6
389,1271,7,5,0,2
390,1271,3,2,2,4
391,1271,1,0,0,4
392,1271,4,1,0,2
393,1271,4,2,3,7
394,1271,4,1,3,4
395,1271,3,0,4,9
396,1271,6,4,2,3
397,1271,5,0,2,4
398,1271,6,4,4,8
399,1271,4,0,6,9
400,1271,7,5,1,4
401,1350,7,4,0,2
402,1350,6,3,1,6
403,1350,4,0,3,4
404,1350,5,4,2,5
405,1350,4,4,4,5
406,1350,6,2,1,7
407,1350,5,0,4,5
408,1350,6,4,4,8
409,1350,10,4,0,3
410,1350,7,5,0,4
411,1350,7,4,0,3
412,1350,3,0,4,9
413,1350,6,1,1,4
414,1350,3,0,0,3
415,1350,4,1,5,7
416,1350,4,3,2,7
417,1350,6,3,0,4
418,1350,6,2,0,4
419,1350,4,0,2,5
420,1350,6,2,0,1
421,1350,7,4,1,4
422,1350,4,0,0,4
423,1350,5,0,0,3
424,1350,5,3,2,4
425,1350,6,2,3,8
426,1426,5,4,6,10
427,1426,4,3,4,7
428,1426,6,3,1,6
429,1426,3,2,4,5
430,1426,6,2,3,4
431,1426,3,1,4,6
432,1426,4,1,2,3
433,1426,7,4,0,4
434,1426,7,2,4,5
435,1426,3,0,2,4
436,1426,6,2,4,8
437,1426,4,1,4,6
438,1426,5,4,1,6
439,1426,4,0,0,4
440,1426,4,1,1,4
441,1426,7,3,6,7
442,1426,4,0,1,3
443,1426,4,0,4,9
444,1426,2,0,5,8
445,1426,8,5,2,3
446,1426,8,5,2,4
447,1426,4,0,3,5
448,1426,4,0,0,3
449,1426,4,2,0,4
450,1509,5,2,4,5
451,1509,8,3,0,6
452,1509,4,1,0,3
453,1509,4,3,4,7
454,1509,4,1,2,7
455,1509,5,1,4,8
456,1509,4,0,3,5
457,1509,6,1,1,6
458,1509,4,0,5,7
459,1509,6,4,2,6
460,1509,5,1,0,3
461,1509,6,3,3,7
